0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.504231408238410950e+00 -1.569490623916499317e+01 3.945086878724396229e+01
-1.010381195787340403e+01 -2.843151083309203386e+01 8.347097788378596306e+01
-2.221278686635196209e+01 -3.864409956918098032e+01 1.317100292374379933e+02
-3.824520135298371315e+01 -4.676695823553018272e+01 1.838177247922867537e+02
-5.761510063614696264e+01 -5.323437262023799121e+01 2.394437664938159287e+02
-7.973652993235737085e+01 -5.848062850954011083e+01 2.982378562875092030e+02
-1.040235344637185335e+02 -6.294001169316470623e+01 3.598496961197815835e+02
-1.298901594458147883e+02 -6.704680795711465180e+01 4.239289879351854324e+02
-1.567504500979557633e+02 -7.123530308995395899e+01 4.901254336796700954e+02
-1.840184516375884414e+02 -7.593978287884965539e+01 5.580887352996505797e+02
-2.111082092840224504e+02 -8.159453311236575246e+01 6.274685947392135859e+02
-2.374607113497331738e+02 -8.860857303300872445e+01 6.979294918817467988e+02
-2.628872311124578118e+02 -9.704367807554081082e+01 7.693390031475573778e+02
-2.874681627405807376e+02 -1.067092489795759320e+02 8.417123142820782959e+02
-3.112899625701829791e+02 -1.174090015206020325e+02 9.150679360651411116e+02
-3.344390869503840804e+02 -1.289466514780651778e+02 9.894243792723864317e+02
-3.570019922219216824e+02 -1.411259146262891591e+02 1.064800154683180153e+03
-3.790651347339153290e+02 -1.537505067444872111e+02 1.141213773073628545e+03
-4.007149708261713386e+02 -1.666241436090786010e+02 1.218683745222631842e+03
-4.220379568422213197e+02 -1.795505409964825958e+02 1.297228581908624619e+03
-4.431205491302534938e+02 -1.923334146854467690e+02 1.376866793906781822e+03
-4.640492040300741792e+02 -2.047764804512262344e+02 1.457616891997400671e+03
-4.849103778880089521e+02 -2.166834540725685656e+02 1.539497386956121773e+03
-5.057905270466580987e+02 -2.278580513249617070e+02 1.622526789562311023e+03
-5.267761078532785177e+02 -2.381039879873860627e+02 1.706723610592074692e+03
-5.479535189568996429e+02 -2.472251085652969778e+02 1.792106315508019179e+03
-5.693785138763487339e+02 -2.550936402531806380e+02 1.878669296810403466e+03
-5.910258782124146819e+02 -2.617624849653802812e+02 1.966343343554064631e+03
-6.128571797916665673e+02 -2.673140392617788166e+02 2.055048861702438444e+03
-6.348339864360168576e+02 -2.718306997015606612e+02 2.144706257224082947e+03
-6.569178659683093429e+02 -2.753948628446087241e+02 2.235235936082433909e+03
-6.790703862132504582e+02 -2.780889252510387450e+02 2.326558304244652390e+03
-7.012531149946153164e+02 -2.799952834800351411e+02 2.418593767675571144e+03
-7.234276201315224171e+02 -2.811963340917136520e+02 2.511262732341885567e+03
-7.455554694468155503e+02 -2.817744736447930336e+02 2.604485604209825397e+03
-7.675982307698577642e+02 -2.818120987007860094e+02 2.698182789242360741e+03
-7.895174719151109457e+02 -2.813916058172471821e+02 2.792274693409446627e+03
-8.112747607119381428e+02 -2.805953915552236140e+02 2.886681722673587501e+03
-8.328316649822518229e+02 -2.795058524743653834e+02 2.981324283002410084e+03
-8.541497525470331311e+02 -2.782053851345553994e+02 3.076122780360747129e+03
-8.751905912300571799e+02 -2.767763860940467566e+02 3.170997620714828372e+03
-8.959157488541677594e+02 -2.753012519136536866e+02 3.265869210031349212e+03
-9.162867932468652725e+02 -2.738623791541904211e+02 3.360657954273279756e+03
-9.362652922226116061e+02 -2.725421643729787320e+02 3.455284259409643710e+03
-9.558128136107698083e+02 -2.714230041310656816e+02 3.549668531404808164e+03
-9.748909252323210239e+02 -2.705872949881013483e+02 3.643731176225002855e+03
-9.934611949110403657e+02 -2.701174335032701492e+02 3.737392599835060537e+03
-1.011485190467908978e+03 -2.700958162371534854e+02 3.830573208202142268e+03
-1.028924479729495943e+03 -2.706048397489357740e+02 3.923193407291080803e+03
-1.045740630514919758e+03 -2.717269005980342627e+02 4.015173603068105876e+03
-1.061895540063269436e+03 -2.735438316008076072e+02 4.106434755107853562e+03
-1.077373698852024972e+03 -2.760988006214611232e+02 4.196935792852193117e+03
-1.092196347948163748e+03 -2.793720823749899864e+02 4.286697408250533044e+03
-1.106388101117685437e+03 -2.833381797128822654e+02 4.375745961355511099e+03
-1.119973572120070457e+03 -2.879715954852290452e+02 4.464107812221627682e+03
-1.132977374724112451e+03 -2.932468325444497168e+02 4.551809320899192244e+03
-1.145424122693017125e+03 -2.991383937420323491e+02 4.638876847441773862e+03
-1.157338429788127542e+03 -3.056207819278351963e+02 4.725336751902475953e+03
-1.168744909776374698e+03 -3.126684999549761415e+02 4.811215394333004951e+03
-1.179668176420032978e+03 -3.202560506735462695e+02 4.896539134786464274e+03
-1.190132843485102057e+03 -3.283579369352664798e+02 4.981334333314560354e+03
-1.200163524732924998e+03 -3.369486615906935185e+02 5.065627349970862269e+03
-1.209784833929501474e+03 -3.460027274917811155e+02 5.149444544807542115e+03
-1.219021384838037193e+03 -3.554946374900173396e+02 5.232812277877237648e+03
-1.227897791223600507e+03 -3.653988944361917675e+02 5.315756909233052284e+03
-1.236438666847534478e+03 -3.756900011817924678e+02 5.398304798927158117e+03
-1.244668625476770103e+03 -3.863424605785403401e+02 5.480482307010330260e+03
-1.252612280874513090e+03 -3.973307754765264690e+02 5.562315793538466096e+03
-1.260294246802106500e+03 -4.086294487277045846e+02 5.643831618562340736e+03
-1.267739137029275298e+03 -4.202129831842612475e+02 5.725056142133660614e+03
-1.274971565315499902e+03 -4.320558816958218813e+02 5.806015724306926131e+03
-1.282016145426779985e+03 -4.441326471148058772e+02 5.886736725133843720e+03
